setting,model,metric,n_splits,median,q25,q75,mean,std,p025,p975
bert,compute_efficiency,r2,20,0.891243478639583,0.8727956796937264,0.9096544812970104,0.8935246215496333,0.026759819506577822,0.8497980291343195,0.9353877460942466
bert,compute_efficiency,rmse,20,0.324573057685947,0.3132968839043282,0.338722256593734,0.3222915134551551,0.03658343746515375,0.2580672575411683,0.3805673987207397
bert,compute_efficiency,calib_slope,20,0.9985365210906616,0.977223463298317,1.0369044205092317,1.0087077798469233,0.05016761133200379,0.9286739842433732,1.09747706454102
bert,compute_efficiency,calib_intercept,20,0.05128229694592068,-0.15045508411819203,0.1979827440702051,0.04053966723898309,0.23323455674845614,-0.3227002120995671,0.4358676327662506
bert,compute_memory,r2,20,0.34660832246358775,0.28417506158847994,0.4073154790942395,0.33585937917651554,0.09203631425498347,0.17200893298379882,0.48206020538311506
bert,compute_memory,rmse,20,0.8143474129952828,0.7752781211199886,0.8361439783606449,0.8098990514158896,0.0394185876096268,0.7560102636666589,0.8766722461249259
bert,compute_memory,calib_slope,20,0.9987951339138578,0.8491735126494703,1.169101549052564,1.0038561786709712,0.19036539659864124,0.7652804782748704,1.3213284357413604
bert,compute_memory,calib_intercept,20,-0.17169288664498897,-0.5740157661370104,0.5908557832669006,-0.01166919318895707,0.8160410473549707,-1.2040607338714093,1.2686957923567894
bert,compute_only,r2,20,0.3554590774719961,0.2885043898212435,0.40681440396941193,0.345740253341365,0.0862012563495069,0.20026190761142018,0.48872287890583027
bert,compute_only,rmse,20,0.8139984867951765,0.776443133265694,0.8304442852683536,0.8040981947442338,0.037630894794448616,0.7454449652598286,0.8667740276998218
bert,compute_only,calib_slope,20,1.012978363144756,0.8614532748690705,1.1719688571179514,1.0352787831802568,0.20355877461760502,0.7802702741475657,1.4055536359248997
bert,compute_only,calib_intercept,20,0.0610843901364167,-0.508668737831902,0.7153571424893683,0.11314485369437524,0.8578488831860486,-1.0894140770874836,1.6196602444811656
bert,configuration_only_prerun,r2,20,0.8772578916267955,0.8642807934325061,0.8955579378162405,0.8784926198570411,0.017776691670545863,0.8496736732501391,0.9026488629202248
bert,configuration_only_prerun,rmse,20,0.34647586089545557,0.327056703367517,0.36664116575317673,0.34672169278911635,0.025442574185932997,0.30875594029451864,0.38880495454856817
bert,configuration_only_prerun,calib_slope,20,1.0070462637028514,0.9847607558912863,1.0439212964309539,1.0137837197361856,0.06737824452871316,0.8998329215713451,1.135191085062022
bert,configuration_only_prerun,calib_intercept,20,0.04320702797217661,-0.0772689757880762,0.22741697270401423,0.05928212145389522,0.3117421820929923,-0.4221214374461514,0.6304265341570525
bert,device_seconds_postrun,r2,20,0.9420053162911921,0.9351804205470697,0.944568586260331,0.9405465783035348,0.01767059242660444,0.9056109329097558,0.9724521932333103
bert,device_seconds_postrun,rmse,20,0.2488905184550923,0.2191632607384308,0.27135724227463476,0.2403983015145688,0.03664508906259769,0.1644584491875356,0.28573898223104044
bert,device_seconds_postrun,calib_slope,20,1.0081890291626796,0.9669004678468389,1.0284179214112512,1.0047823990260714,0.04730626211128076,0.9354961810615433,1.0970801050676575
bert,device_seconds_postrun,calib_intercept,20,0.04853094292208964,-0.1087909628518108,0.12435247604767918,0.02621467978430827,0.18749373243195253,-0.26292254164521794,0.36683137040344754
bert,full_interpretable,r2,20,0.9371085859289997,0.9253046476959628,0.9476692059900946,0.9365167858522465,0.012846918051286182,0.917872045020822,0.9532596513103722
bert,full_interpretable,rmse,20,0.2532943357482739,0.22715063996025292,0.26962099674503026,0.24991829335321009,0.02406111339225734,0.20968984702467483,0.28493536241272477
bert,full_interpretable,calib_slope,20,1.0102611532040566,0.9915435930067074,1.0423707218926426,1.012921690432742,0.036892464431520784,0.9536409785755242,1.0735253568216367
bert,full_interpretable,calib_intercept,20,0.09342610659794853,-0.10037680087433154,0.1678648453830422,0.05407973990036345,0.16342261530621502,-0.20528157645199838,0.31319570151695786
bert,full_plus_hardware,r2,20,0.9324794003606376,0.9241124376057712,0.947642665004595,0.9346661063140713,0.01348495631229825,0.913939327683302,0.95164290697302
bert,full_plus_hardware,rmse,20,0.2593564777728219,0.22925796927148617,0.2698959388266563,0.25351974894012314,0.025237820155468733,0.21076066965478646,0.29070359314263994
bert,full_plus_hardware,calib_slope,20,1.0096643704488049,0.9889990329711074,1.0429865490159664,1.0130831465523527,0.03882205807668419,0.9489066371556737,1.0738417994071248
bert,full_plus_hardware,calib_intercept,20,0.08373945565476147,-0.10397283009256963,0.19403821568267257,0.05448154835059005,0.1708762122050396,-0.22227155745797483,0.3165341646274906
bert,full_plus_hardware_gpu_count,r2,20,0.9337325666210783,0.924505382024658,0.9459392721253022,0.9342966626809783,0.012913645934107909,0.9142435793208467,0.9504741249926876
bert,full_plus_hardware_gpu_count,rmse,20,0.2624140679627581,0.23273529444678667,0.26755860095709194,0.25441279378983656,0.024355195802083878,0.20942366428357792,0.2911501111184989
bert,full_plus_hardware_gpu_count,calib_slope,20,1.011065234777374,0.9890469302306808,1.0469887649720055,1.0115703091167745,0.04158194026661946,0.9375869027361071,1.0766900225263494
bert,full_plus_hardware_gpu_count,calib_intercept,20,0.08582102339407227,-0.05396949886674548,0.16924539053832288,0.05068288287005649,0.1741771147859616,-0.2484114928326151,0.3237984210974484
bert,hist_gradient_boosting_configuration_prerun,r2,20,0.8530069940233133,0.831546637747639,0.8794724916355199,0.8516966289646947,0.038309297067384215,0.7823625689045655,0.9088984468372826
bert,hist_gradient_boosting_configuration_prerun,rmse,20,0.38392515505676106,0.34999238818561407,0.41077914962913376,0.3814934606706799,0.0531919986099825,0.27821156953741527,0.46454688776700626
bert,hist_gradient_boosting_configuration_prerun,calib_slope,20,0.9762368055884824,0.940473989567933,1.024268140294332,0.9785362875441009,0.06304763080486835,0.8728672468618205,1.077594007322812
bert,hist_gradient_boosting_configuration_prerun,calib_intercept,20,-0.08525504636489825,-0.3441615101205894,0.20072452969171367,-0.09630685866968196,0.3348108483819267,-0.6451978710861459,0.41418563845608375
bert,hist_gradient_boosting_full_postrun,r2,20,0.8935826171551361,0.8749170217861809,0.902597501539665,0.8898436623770248,0.022940525629416432,0.8501500020871355,0.9260298042002533
bert,hist_gradient_boosting_full_postrun,rmse,20,0.3323328788709256,0.3187548074026011,0.35337546277860826,0.33045772050549693,0.04457243929625707,0.2551452086094616,0.40503042673859413
bert,hist_gradient_boosting_full_postrun,calib_slope,20,0.9966313650205958,0.936604079154112,1.0678062263847539,0.9981968102232794,0.08151110837153644,0.8816405413097451,1.1305821343237548
bert,hist_gradient_boosting_full_postrun,calib_intercept,20,-0.07380200012533825,-0.3747630905484756,0.3176016840741936,-0.013943179980386782,0.38788011299471203,-0.5473219978400483,0.6279314585465646
bert,memory_efficiency,r2,20,0.9207587251037765,0.9084930409201307,0.9317450022481615,0.9191555898532242,0.014669217055408868,0.8940609612698672,0.9378922590511907
bert,memory_efficiency,rmse,20,0.2808462228650258,0.25659827063405566,0.3093052326015907,0.28269211420382157,0.02824405843254367,0.2426068784688722,0.32222950705313563
bert,memory_efficiency,calib_slope,20,1.0149508359585109,0.9743027135059213,1.0388481616313492,1.0133112830302684,0.04213338402609965,0.9568061295679167,1.0896454485323954
bert,memory_efficiency,calib_intercept,20,0.04606882222144901,-0.09628038617852917,0.21739511780586046,0.05002810381657705,0.19563110868980374,-0.2506708153532125,0.3727171914996416
bert,random_forest_configuration_prerun,r2,20,0.8786319580127281,0.8673476351828081,0.9055808560270292,0.8793879859356876,0.03445230821741437,0.8094681882635395,0.9253676733824164
bert,random_forest_configuration_prerun,rmse,20,0.34461521835031117,0.3063470231070773,0.3740186387388992,0.34388957142140236,0.054113354045577634,0.26165819505656485,0.4453756520876809
bert,random_forest_configuration_prerun,calib_slope,20,1.1186192791186327,1.085093665656578,1.1487652129442374,1.1163833824956566,0.06035149100439069,1.0087312321157553,1.2185496152574056
bert,random_forest_configuration_prerun,calib_intercept,20,0.5187969998593402,0.3172462919820819,0.6484880779189179,0.4790134598380635,0.32117517806557727,-0.12400989972838027,0.9823757881791948
bert,random_forest_full_postrun,r2,20,0.9262052790739117,0.9098496179122622,0.942260455273636,0.9235388024794211,0.022712133762091028,0.8840189222779532,0.9553038437669312
bert,random_forest_full_postrun,rmse,20,0.2710248580996859,0.23222358584826377,0.30264381521900124,0.2741089438360305,0.049096096458173706,0.20162706027060515,0.36046953981766233
bert,random_forest_full_postrun,calib_slope,20,1.1273334887453879,1.0834281067112974,1.1622454129440016,1.1221090585714601,0.05251272341338423,1.0301119340500053,1.1941345596446296
bert,random_forest_full_postrun,calib_intercept,20,0.5728835291687364,0.270386274361025,0.7357194910984763,0.5093390111618762,0.2817805079207367,0.018262187387758075,0.8922962374058032
bert,runtime_only_postrun,r2,20,0.7296123091094513,0.697178642265185,0.7368549346674067,0.7016441075472206,0.06182282358086685,0.5443488007353098,0.7499613580172371
bert,runtime_only_postrun,rmse,20,0.5306244494390631,0.5212287588433892,0.5620669513705248,0.540997178921853,0.032292704349014496,0.4965338357627816,0.5998490634382718
bert,runtime_only_postrun,calib_slope,20,0.9901952474262791,0.9448302155226547,1.0127295037767392,0.9819160078435519,0.07519586074148855,0.868960550856141,1.1333006315252807
bert,runtime_only_postrun,calib_intercept,20,-0.0478831378021262,-0.24397609283216434,0.1078271961100636,-0.07664813185278663,0.33136547696033725,-0.6120785378592524,0.48535914512785944
bert,tokens_only,r2,20,-0.02810762662579569,-0.09279387205422474,0.0057978166068158865,-0.06736494439087677,0.14088969031175277,-0.39912955671095274,0.027567176929099303
bert,tokens_only,rmse,20,1.020273076335592,1.0060258582782633,1.0641881237890936,1.0286604581890313,0.06256662802746892,0.9168734776842944,1.1600473135015674
