,GPU model,arch,model,framework,gpus,max_length,batch_size,seq_len_batch,grad_accum,num_layers,hidden_size,heads,ff,task,fp16,bf16,power_correction,energy_consumed_kWh,duration_s,tokens_seen,tokens_per_sec_run,FLOPs,params_calc,M_proxy,flops_per_token_proxy,eta_h_proxy,n_runs,median_n_epochs,T1,speed_up,parallel_efficiency,strategy,memory,compute,log_energy_consumed_kWh,log_parallel_efficiency,log_FLOPs,log_params_calc,log_tokens_seen,log_speed_up,log_M_proxy,log_compute,log_memory,log_AI
660,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=6,d=448,h=7,ff=1792)",FSDP,4,128,8,128,8,6,448,7,1792,WIKITEXT,True,False,1.0,0.0177145,121.467,7905792.0,65085.98495898637,40801476280320.0,24084480.0,2752512.0,15482880.0,3.7642655,2,3.0,77.30199999999999,0.6364033029547119,0.15910082573867798,FSDP,21760787349504.0,190406889308160.0,-4.033371765731385,-1.8382171535910345,31.33973938002524,16.997078207612017,15.88310621336037,-0.451922792471144,14.828024507242493,32.880184420972384,30.711130720602863,16.511714872782747
661,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=448,h=7,ff=1792)",Baseline,1,32,8,32,8,8,448,7,1792,WIKITEXT,True,False,1.0,0.0023279999999999998,71.716,1356096.0,18909.253165262984,8865092468736.0,32112640.0,917504.0,19611648.0,1.920927,1,3.0,71.716,1.0,1.0,Baseline,1244223504384.0,43547822653440.0,-6.0627457491129455,0.0,29.813142486165802,17.284760280063797,14.120120541436703,0.0,13.729412218574383,31.4048808215005,27.849532760011087,16.083730267591417
662,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=448,h=7,ff=1792)",Baseline,1,64,8,64,8,8,448,7,1792,WIKITEXT,True,False,1.0,0.003352,74.235,1970304.0,26541.44271570014,13106273058816.0,32112640.0,1835008.0,19955712.0,1.398323,1,3.0,74.235,1.0,1.0,Baseline,3615523602432.0,63271663042560.0,-5.6981980963623,0.0,30.204112090970657,17.284760280063797,14.493698403529692,0.0,14.422559399134329,31.778458683593488,28.91625780266402,15.78155269183633
663,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=448,h=7,ff=1792)",Baseline,1,96,8,96,8,8,448,7,1792,WIKITEXT,True,False,1.0,0.004268,81.943,2584512.0,31540.36342335526,17488338223104.0,32112640.0,2752512.0,20299776.0,1.26682,1,3.0,81.943,1.0,1.0,Baseline,7113900294144.0,82995503431680.0,-5.45660994554263,0.0,30.49255538747214,17.284760280063797,14.765047266671875,0.0,14.828024507242493,32.04980754673567,29.593071773914367,15.664530880229648
664,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=448,h=7,ff=1792)",Baseline,1,128,8,128,8,8,448,7,1792,WIKITEXT,True,False,1.0,0.004962,91.301,3198720.0,35034.88461243579,22011287961600.0,32112640.0,3670016.0,20643840.0,1.174397,1,3.0,91.301,1.0,1.0,Baseline,11739353579520.0,102719343820800.0,-5.305946393712528,0.0,30.72257652686526,17.284760280063797,14.978261287748614,0.0,15.115706579694274,32.26302156781241,30.09396786744289,15.606869947170988
665,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=448,h=7,ff=1792)",FSDP,2,32,8,32,8,8,448,7,1792,WIKITEXT,True,False,1.0,0.009325,143.998,1970496.0,13684.190058195254,12881557979136.0,32112640.0,917504.0,19611648.0,2.721931,1,3.0,71.716,0.4980346949263184,0.2490173474631592,FSDP,1807937961984.0,63277828669440.0,-4.675056313452258,-1.3902327164174246,30.186817790402593,17.284760280063797,14.493795845673496,-0.6970855358574795,13.729412218574383,31.778556125737293,28.223208064247878,16.45740557182821
666,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=448,h=7,ff=1792)",FSDP,2,64,8,64,8,8,448,7,1792,WIKITEXT,True,False,1.0,0.010787999999999999,152.81799999999998,3199104.0,20934.07844625633,21280132694016.0,32112640.0,1835008.0,19955712.0,2.213097,1,3.0,74.235,0.4857739271551781,0.24288696357758904,FSDP,5870381432832.0,102731675074560.0,-4.529320873704654,-1.4151591143295281,30.688795016003603,17.284760280063797,14.978381328562635,-0.7220119337695828,14.422559399134329,32.263141608626434,29.400940727696963,16.266235616869274
667,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=448,h=7,ff=1792)",FSDP,2,96,8,96,8,8,448,7,1792,WIKITEXT,True,False,1.0,0.012215,162.589,4427712.0,27232.54340699555,29960520597504.0,32112640.0,2752512.0,20299776.0,2.063693,1,3.0,81.943,0.503988584713603,0.2519942923568015,FSDP,12187330412544.0,142185521479680.0,-4.405090574272434,-1.3783488411049867,31.03090165084529,17.284760280063797,15.303393530045023,-0.6852016605450413,14.828024507242493,32.58815381010882,30.131418037287517,16.202877143602798
668,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=448,h=7,ff=1792)",FSDP,2,128,8,128,8,8,448,7,1792,WIKITEXT,True,False,1.0,0.013545,171.06799999999998,5656320.0,33064.746182804505,38922721689600.0,32112640.0,3670016.0,20643840.0,1.998306,1,3.0,91.301,0.5337117403605585,0.26685587018027923,FSDP,20758784901120.0,181639367884800.0,-4.301737803445079,-1.3210465783917507,31.29259930116105,17.284760280063797,15.548284062044402,-0.6278993978318054,15.115706579694274,32.8330443421082,30.663990641738675,16.176892721466775
669,NVIDIA GeForce RTX 2080 Ti,gpt,"CustomGPT(L=8,d=448,h=7,ff=1792)",FSDP,4,32,8,32,8,8,448,7,1792,WIKITEXT,True,False,1.0,0.020616000000000002,164.435,3199488.0,19457.463435400005,20915744145408.0,32112640.0,917504.0,19611648.0,4.548849,1,3.0,71.716,0.436135859154073,0.10903396478851825,FSDP,2935543037952.0,102744006328320.0,-3.881687805632073,-2.2160958417269137,30.671523299697686,17.284760280063797,14.97850135496859,-0.8298014806070229,13.729412218574383,32.263261635032386,28.70791357354297,16.942111081123304
