setting,held_out_gpu,n_train,n_test,r2,rmse,calib_intercept,calib_slope
bert,Tesla V100-PCIE-16GB,116,15,0.9194567055574622,0.21503944740355857,0.32602462550025835,1.064038812932814
gpt,NVIDIA A100-SXM4-40GB,258,304,0.7591199807151808,0.42974954543911387,-0.6210850801114729,0.9455699301103909
gpt,NVIDIA GeForce RTX 2080 Ti,353,209,0.8766489098707035,0.36720643036037665,0.8661943816739818,1.1156231743369747
gpt,Tesla T4,513,49,0.8411511796805478,0.35678096748964366,-0.22546660705754162,0.8899259186686606
pooled,NVIDIA A100-SXM4-40GB,351,304,0.7626496716221594,0.426589297863071,-0.5740551342991902,0.9542776085146726
pooled,NVIDIA GeForce RTX 2080 Ti,368,287,0.8621847466254448,0.3652485435902954,0.6893827893940868,1.0837663742128585
pooled,Tesla T4,606,49,0.8497666548058143,0.3469707387009217,-0.21913894015645158,0.8957067085581367
pooled,Tesla V100-PCIE-16GB,640,15,0.8798273199095571,0.26266748395006373,-0.43611635010952343,0.9356109210390774
