setting,metric,n_splits,median,q25,q75,mean,std,p025,p975
bert,r2,20,0.8650451584482003,0.8306597354586356,0.887183335976646,0.8555728998532309,0.04818555374392095,0.7455770426717744,0.9073994367711642
bert,rmse,20,0.3649082625087926,0.34343522358660344,0.3970811930555703,0.36874253686326225,0.04348559031137191,0.2999520232040482,0.44831858510098127
bert,calib_slope,20,0.9718427413321418,0.944513398760231,1.026076052980805,0.981177534304128,0.05806966140010202,0.881442340572634,1.0778418818898678
bert,calib_intercept,20,-0.08159805011634472,-0.1868323887322078,0.07271536759512037,-0.056127743550295484,0.23315746611385635,-0.4211143900501371,0.41995466661660485
bert,coverage,20,0.9367167919799498,0.8778409090909091,0.975609756097561,0.9175263387837365,0.07373761830998407,0.765472027972028,1.0
bert,q_log,20,0.6031810653238738,0.5740853320018672,0.7003590537439637,0.6561527421776276,0.16225193695233672,0.49279993996945537,1.0231076496932354
bert,multiplicative_half_width,20,1.827941913634856,1.7755083243478258,2.0144759829125065,1.9549835951290517,0.38827925608815866,1.6369355782779353,2.852345607118173
bert,median_interval_width_kwh,20,0.02084943199365674,0.01933784496209738,0.02372990961701023,0.022117843504017767,0.008010868550550542,0.01286685817056473,0.04043716402360473
gpt,r2,20,0.8378096954822416,0.8280590595339166,0.8432312484823747,0.8332309844045854,0.017358330931568407,0.7963813465514505,0.853911806913601
gpt,rmse,20,0.38408613117704177,0.37860943913721445,0.38962690100942166,0.3842386856781857,0.0151568783624606,0.3520597565562483,0.4069666278611823
gpt,calib_slope,20,0.9949662277050955,0.9514851311884699,1.022159012435958,0.9900428951820954,0.05244270241374613,0.9122593133185191,1.087963510570785
gpt,calib_intercept,20,-0.05815408455276723,-0.19335102153174116,0.09724476788018317,-0.057748343507644184,0.2709627583327414,-0.4617649287836297,0.4543870341632218
gpt,coverage,20,0.9677652401265997,0.9379993579683265,0.9756779322612263,0.9591831376326654,0.02748393357243987,0.9069767441860465,0.9972857142857143
gpt,q_log,20,0.7242373766465331,0.6699254961424158,0.853229899545654,0.7632880146429428,0.11854013293540192,0.6261351856629027,0.9856507458021273
gpt,multiplicative_half_width,20,2.06336515385222,1.9541008027851081,2.347218528697111,2.160128027776322,0.2684003890594079,1.8711977037667262,2.6873284248157234
gpt,median_interval_width_kwh,20,0.01753156643352025,0.015361144603875682,0.019481252999459468,0.018763192206519435,0.005176537845017852,0.013488081075689466,0.031125077792609535
pooled,r2,20,0.8279060631658055,0.817741367811283,0.8349309714558252,0.8249434358800757,0.016825623718768782,0.794221294279238,0.8493297122093703
pooled,rmse,20,0.38260155016296093,0.37552816713197046,0.3958101871285171,0.38632352950152027,0.015487620416334467,0.36340120494360595,0.4126958187971597
pooled,calib_slope,20,1.0004246297648436,0.9765843910828627,1.0455563451939691,1.0070219228604997,0.05123217915471458,0.9150078001694714,1.0935905962863646
pooled,calib_intercept,20,0.0028401720629028866,-0.1034228586641659,0.23167517350070443,0.035633920118429294,0.2729879431857019,-0.4596539343466256,0.5247293920265959
pooled,coverage,20,0.9461415433826469,0.9343256691832532,0.9599970294823874,0.9464239147625504,0.022839346324433248,0.910649015932521,0.9856590909090909
pooled,q_log,20,0.6593070150645473,0.6403586234698827,0.7518604819008664,0.7066870526529392,0.08711564695947566,0.6264294413966418,0.8789439891808782
pooled,multiplicative_half_width,20,1.933454810825649,1.8971703669894366,2.121021518494728,2.0347776578809316,0.18432244203115,1.8709277450239914,2.408935176881882
pooled,median_interval_width_kwh,20,0.01648997369232819,0.015680740061002965,0.01836135789197111,0.017384388202888672,0.0028605684234805414,0.013755233545105033,0.023742452417889345
