setting,scenario,n_train,n_test,n_train_groups,n_test_groups,energy_r2,energy_rmse,energy_calib_slope,eta_r2,eta_rmse
bert,small_to_large,96,35,51,17,0.4365749808154077,0.5377291095904959,0.7851117674415767,0.9347884547371978,0.2114931979699423
bert,large_to_small,99,32,51,17,0.4271096406262995,0.6775031115669571,0.9598364031675213,0.9528929487449234,0.20302410228116788
gpt,small_to_large,431,131,133,45,0.6169276300018708,0.43968871124177417,0.9606523870664787,0.8452139191638326,0.33164939224780876
gpt,large_to_small,408,154,133,45,0.2618237599975668,0.6263477555383082,0.7796933882382057,0.9341477109930906,0.22152221428940283
pooled,small_to_large,491,164,184,62,0.5962234399937667,0.44209807739653223,0.9690140337239175,0.8647610682710257,0.31047328897224946
pooled,large_to_small,491,164,184,62,0.23209227843282376,0.5851869900224769,0.7636708343216616,0.9012134905578976,0.2754162658842123
