setting,split,model,n_test,r2,rmse,calib_intercept,calib_slope
bert,0,eta_predictor,37,0.9370903206763239,0.2109818223637303,-0.051606587691185875,0.9524328489272321
bert,0,configuration_only_legacy_no_strategy,37,0.6812917327290637,0.5615092658421448,0.6034990418170784,1.1571306407484616
bert,0,configuration_only_matched_features,37,0.8608560189041387,0.37101586009060983,0.019546800176697493,1.0032283361726972
bert,0,predicted_eta_prerun,37,0.85963511309252,0.37264002702983595,0.01124472295254748,1.001596758436187
bert,0,measured_eta_postrun,37,0.9335673021800849,0.25636055749804276,0.1670261649637925,1.0448550824944913
bert,1,eta_predictor,39,0.9416603254297201,0.22568951470764154,-0.028179454175845487,1.048598377670535
bert,1,configuration_only_legacy_no_strategy,39,0.6739745480973132,0.6136219739163448,0.9270912112994939,1.2138433164027413
bert,1,configuration_only_matched_features,39,0.8811367453180547,0.37050916863472927,0.36395894107969473,1.0653726250054918
bert,1,predicted_eta_prerun,39,0.8777664944589753,0.3757251652682813,0.3451165365334923,1.0598922838791371
bert,1,measured_eta_postrun,39,0.9445673732913508,0.2530217643533429,0.17038088664078924,1.0344972524584195
bert,2,eta_predictor,29,0.9043914620542994,0.2536127137609879,0.04108941097078955,0.9430129344620606
bert,2,configuration_only_legacy_no_strategy,29,0.6360358374609678,0.5804126521358985,-0.09619689455957356,1.04495814719986
bert,2,configuration_only_matched_features,29,0.895907406574687,0.3103969703749737,-0.012557566489895068,1.0378646489366528
bert,2,predicted_eta_prerun,29,0.8931396463280709,0.314496533478103,0.02105442117760847,1.0456422113109434
bert,2,measured_eta_postrun,29,0.9180340484213936,0.275438282585777,0.13358587966205013,1.0483151813283784
bert,3,eta_predictor,45,0.9496777902106126,0.19019655106438982,-0.01017231583483309,0.9773457185357367
bert,3,configuration_only_legacy_no_strategy,45,0.666312239409798,0.582260614916308,0.49723213744352335,1.1137841276192804
bert,3,configuration_only_matched_features,45,0.8778695834441812,0.3522566456263542,0.04908939009892778,1.012287296816317
bert,3,predicted_eta_prerun,45,0.8766063515666567,0.35407370767957547,0.06110385977197616,1.0165119996694667
bert,3,measured_eta_postrun,45,0.9289731428993664,0.2686325130523448,0.08512446599190755,1.0207513013085698
bert,4,eta_predictor,34,0.9310243917763615,0.18907834317892724,0.0028795961926555464,0.9144723682033783
bert,4,configuration_only_legacy_no_strategy,34,0.5010737528336626,0.631845264899313,-1.2527504407700136,0.7208778636508623
bert,4,configuration_only_matched_features,34,0.8681604748198432,0.3247995168337717,-0.46959437391530273,0.8985206450200198
bert,4,predicted_eta_prerun,34,0.8709018395907117,0.321404968647664,-0.44384290324587317,0.9054514776858278
bert,4,measured_eta_postrun,34,0.9254779296164564,0.24419401493415122,-0.11936592390026503,0.964536175426777
bert,5,eta_predictor,34,0.931610873602169,0.21741450090895292,-0.04736446461759477,0.9350398950243409
bert,5,configuration_only_legacy_no_strategy,34,0.7531598821788257,0.5336822721668327,0.3361152716914742,1.0906040437894364
bert,5,configuration_only_matched_features,34,0.8990441771150677,0.3413033811487918,0.09969935199008062,1.010262799179735
bert,5,predicted_eta_prerun,34,0.8986852004549447,0.3419096425019171,0.057483659883835816,0.9989546397685587
bert,5,measured_eta_postrun,34,0.9485985563102316,0.24353566020006898,0.17707175870438424,1.028381107979191
bert,6,eta_predictor,39,0.9608370707306915,0.171564346532987,-0.020056327202181177,1.0086653627367104
bert,6,configuration_only_legacy_no_strategy,39,0.588222836161946,0.6183634335692764,0.22548593526402974,1.051728227848575
bert,6,configuration_only_matched_features,39,0.8620669600943216,0.35788774300354287,0.1429430421784785,1.0364148414943284
bert,6,predicted_eta_prerun,39,0.8615673325546084,0.3585353359995349,0.13129847541797315,1.035819134350657
bert,6,measured_eta_postrun,39,0.9247848019344851,0.2642807147752618,0.13833959349912,1.0428065509563378
bert,7,eta_predictor,36,0.9373745448895207,0.24559469056755068,-0.0376099290467825,1.0693737788989863
bert,7,configuration_only_legacy_no_strategy,36,0.6205024230920675,0.6411892590058652,0.8758308685709458,1.1955354624268013
bert,7,configuration_only_matched_features,36,0.8584250935338512,0.39162902971152685,0.7627637454739336,1.1466518162561068
bert,7,predicted_eta_prerun,36,0.8531187045826368,0.39890086862933044,0.7835458395284581,1.1506992889285081
bert,7,measured_eta_postrun,36,0.9406498696779146,0.253566907143206,0.32171190469181504,1.062345316858952
bert,8,eta_predictor,47,0.9398545496011619,0.22979597403215316,-0.016888869008331912,1.0047128377393821
bert,8,configuration_only_legacy_no_strategy,47,0.5557903095251631,0.6802136581078099,-0.8411833741711905,0.7798103924393481
bert,8,configuration_only_matched_features,47,0.8936821316158536,0.33277789021788284,-0.34528554369566117,0.9066582676974042
bert,8,predicted_eta_prerun,47,0.8967495742722438,0.3279421648223754,-0.28299835248175603,0.9247043864147935
bert,8,measured_eta_postrun,47,0.9534077267656472,0.22029684823371715,-0.20817686642970898,0.9456332814156715
bert,9,eta_predictor,44,0.9465154618420278,0.20513679240775293,-0.013980930081015324,1.0028599524517492
bert,9,configuration_only_legacy_no_strategy,44,0.6110369041366788,0.611761774313262,0.6425306166054712,1.1444190357668829
bert,9,configuration_only_matched_features,44,0.8753576330193087,0.346306769874343,-0.049287310925679284,0.9799072829356865
bert,9,predicted_eta_prerun,44,0.8779017982101555,0.3427541892948471,-0.07898050919034685,0.9753332846388377
bert,9,measured_eta_postrun,44,0.9473478664314863,0.2250795949152013,-0.1010787074143644,0.9736838271945892
bert,10,eta_predictor,41,0.9401620778208755,0.22015225714306672,0.017536605549901656,1.0104682369570068
bert,10,configuration_only_legacy_no_strategy,41,0.6716492480927001,0.5939463933954798,0.4211005999019509,1.1038637598009335
bert,10,configuration_only_matched_features,41,0.9058621605327962,0.3180243365665276,-0.002558973939056589,0.9978399340700035
bert,10,predicted_eta_prerun,41,0.9106260779866845,0.3098729382864758,-0.02595201977860387,0.9919627478616322
bert,10,measured_eta_postrun,41,0.9516821915574227,0.22784098830860308,0.0026917593074285134,0.9971940475091856
bert,11,eta_predictor,35,0.9234639840166976,0.24543012257586638,-0.027840659033252065,0.9880628734965372
