,log_C,log_M,log_eta,log2_gpus
log_C,1.0,0.8737476987127474,-0.17906645959716835,0.15110633296117165
log_M,0.8737476987127474,1.0,0.152415523524919,-0.020451569248736874
log_eta,-0.17906645959716835,0.152415523524919,1.0,-0.8406448134918321
log2_gpus,0.15110633296117165,-0.020451569248736874,-0.8406448134918321,1.0
