term,coef,HC3_SE,cluster_SE,HC3_p,cluster_p,n,n_clusters
C(arch)[T.gpt],-0.5170743080621407,0.04335665680761917,0.0523970315569437,8.656977525290273e-33,5.707365958521459e-23,655,246
"C(strategy, Treatment(reference=""Baseline""))[T.FSDP]",-0.35501739791185105,0.048360070612573997,0.042758876725030176,2.11803434724774e-13,1.017060735948e-16,655,246
Intercept,-3.9011775265220967,0.0533267969416716,0.05280063330850153,0.0,0.0,655,246
log_C_c,0.08002318734868652,0.019244108285437503,0.02462105665910448,3.2059474219397894e-05,0.001153266896658323,655,246
log_M_c,0.4282237161628566,0.026850978784784874,0.03337485480985755,2.9341325442224626e-57,1.103212681052647e-37,655,246
log_eta_c,-0.9058534013306041,0.03307417889716902,0.03170603411367765,3.755766179403341e-165,1.568436505418054e-179,655,246
