,log_C,log_M,log_eta,log2_gpus
log_C,1.0,0.8549075486300323,-0.1682052366490508,0.1691275493296746
log_M,0.8549075486300323,1.0,0.16430747799452897,-0.021084576386987842
log_eta,-0.1682052366490508,0.16430747799452897,1.0,-0.8482390336739374
log2_gpus,0.1691275493296746,-0.021084576386987842,-0.8482390336739374,1.0
