proxy,R2_median,R2_q25,R2_q75,RMSE_median,alpha_C_median,alpha_M_median,alpha_eta_median,n_splits
M1_activation,0.9223497585465232,0.9147355268918982,0.927274410341885,0.2581025135659104,0.07980393978965747,0.4267719236241557,-0.9058238595227754,20
M2_activation_attention,0.9192364139527495,0.9118045279661267,0.9233855520052237,0.2635796601808472,0.15676923511166865,0.3395893910084896,-0.8444565319238901,20
M3_activation_parameter,0.9090375607858627,0.9011744103380278,0.9176715961749883,0.2763503693752374,0.16022042392140423,0.2265652836747576,-0.7331159526075253,20
M4_activation_distributed_state,0.9071436337612937,0.9018221598789781,0.9139002078093724,0.28112483907749247,0.19405791569710285,0.20698087583111463,-0.6523764086947246,20
primary_M_proxy,0.9223497585465232,0.9147355268918982,0.927274410341885,0.2581025135659104,0.07980393978965747,0.4267719236241557,-0.9058238595227754,20
