,log_C,log_M,log_eta,log2_gpus
log_C,1.0,0.9427990287784936,-0.15908481079001213,0.22591412445559758
log_M,0.9427990287784936,1.0,0.08632443238918812,-0.0013031951693156464
log_eta,-0.15908481079001213,0.08632443238918812,1.0,-0.9187309888653417
log2_gpus,0.22591412445559758,-0.0013031951693156464,-0.9187309888653417,1.0
