,log_C,log_M,log_eta,log2_gpus
log_C,1.0,0.924519475662654,-0.1543210883681958,0.2466793425552004
log_M,0.924519475662654,1.0,0.11592358284558414,-0.0013721993754759543
log_eta,-0.1543210883681958,0.11592358284558414,1.0,-0.9007703796568474
log2_gpus,0.2466793425552004,-0.0013721993754759543,-0.9007703796568474,1.0
