proxy,R2_median,R2_q25,R2_q75,RMSE_median,alpha_C_median,alpha_M_median,alpha_eta_median,n_splits
M1_activation,0.9269447154811208,0.9209409207272876,0.9316131534188039,0.25970805877712444,0.10981033273019078,0.3943158267692888,-0.9488121735561657,20
M2_activation_attention,0.9251205712688761,0.9199333158374552,0.9288260814613241,0.2641282386838548,0.1978498450574741,0.29424191881766437,-0.899379802723624,20
M3_activation_parameter,0.9102660716680864,0.9069784041124361,0.9195857875894482,0.2821770383169187,0.27288479311997094,0.11966199697404153,-0.7683942672245915,20
M4_activation_distributed_state,0.9161041250795845,0.9119479264336509,0.9257189431608355,0.27060274385492034,0.2172172379375788,0.19490253762518348,-0.7924877484606032,20
primary_M_proxy,0.9269447154811208,0.9209409207272876,0.9316131534188039,0.25970805877712444,0.10981033273019078,0.3943158267692888,-0.9488121735561657,20
