term,coef,HC3_SE,cluster_SE,HC3_p,cluster_p,n,n_clusters
"C(strategy, Treatment(reference=""Baseline""))[T.FSDP]",-0.49235478742630423,0.05305177336683538,0.044216387755924735,1.6845233445230377e-20,8.463086825307756e-29,562,178
Intercept,-4.245777730621513,0.03889306262044857,0.03531194597980972,0.0,0.0,562,178
log_C_c,0.11205328081856067,0.02362090255545092,0.03538953023060295,2.097264986899918e-06,0.0015440030566159517,562,178
log_M_c,0.39081569736496224,0.03182006191670509,0.04655324678231309,1.130910423468935e-34,4.6579284693519554e-17,562,178
log_eta_c,-0.9489426152160704,0.033007555127518864,0.03147957550021088,9.253940740562248e-182,1.258375327317667e-199,562,178
