term,coef,HC3_SE,cluster_SE,HC3_p,cluster_p,n,n_clusters
"C(strategy, Treatment(reference=""Baseline""))[T.FSDP]",-0.29268390371918596,0.10988673209060208,0.10132317778957867,0.007733117193719476,0.0038693944439118877,131,68
"C(strategy, Treatment(reference=""Baseline""))[T.TP]",-0.5711473880800463,0.20167300230243837,0.19266504812349186,0.004625107347561652,0.0030321691273329098,131,68
Intercept,-3.8417083530536855,0.10473029273588516,0.09566431232952259,1.4183950833176308e-294,0.0,131,68
log_C_c,0.0454416147383197,0.03777433549539609,0.03581780191060809,0.22898565191215958,0.20455237135181414,131,68
log_M_c,0.4197998096958916,0.05048442978132705,0.04609824082233009,9.141915688691036e-17,8.497744370043566e-20,131,68
log_eta_c,-1.122763799841265,0.09241497265688153,0.08472601990704992,5.796175517599337e-34,4.410967928990407e-40,131,68
