,log_C,log_M,log_eta,log2_gpus
log_C,1.0,0.893212708861616,0.012342838165439487,-0.22987633493781534
log_M,0.893212708861616,1.0,0.14123011628794852,-0.06789867946173868
log_eta,0.012342838165439487,0.14123011628794852,1.0,-0.5452860846383347
log2_gpus,-0.22987633493781534,-0.06789867946173868,-0.5452860846383347,1.0
