proxy,R2_median,R2_q25,R2_q75,RMSE_median,alpha_C_median,alpha_M_median,alpha_eta_median,n_splits
M1_activation,0.9371085859289998,0.9253046476959635,0.9476692059900945,0.2532943357482744,0.05358524195691898,0.40971371389419964,-1.1034412903394997,20
M2_activation_attention,0.9438119967706642,0.9289803005293014,0.9514629555539732,0.240109948295068,0.08431460802734927,0.41632491211433775,-1.1180717881205353,20
M3_activation_parameter,0.9388509544539063,0.9345596697238171,0.9481092655331229,0.2414614985564929,-0.004257907860330664,0.3758904362458865,-1.0118876466087514,20
M4_activation_distributed_state,0.9309459365154478,0.9163280606199905,0.9386244735729665,0.2660424653873682,0.0863563990587285,0.301765195644492,-0.9288309917368747,20
primary_M_proxy,0.9371085859289998,0.9253046476959635,0.9476692059900945,0.2532943357482744,0.05358524195691898,0.40971371389419964,-1.1034412903394997,20
