,log_C,log_M,log_eta,log2_gpus
log_C,1.0,0.8771959533268157,0.032003773708420016,-0.25673322287198325
log_M,0.8771959533268157,1.0,0.09203557686438005,-0.06904935474893513
log_eta,0.032003773708420016,0.09203557686438005,1.0,-0.6075379628798255
log2_gpus,-0.25673322287198325,-0.06904935474893513,-0.6075379628798255,1.0
